Date,Value
2014-03-28,21660004.8214
2014-03-27,17947985.1301
2014-03-26,6384680.23308
2014-03-25,7230990.78936
2014-03-24,5621252.84603
2014-03-23,3768574.27643
2014-03-22,7773411.46318
2014-03-21,12134002.5459
2014-03-20,6173088.60368
2014-03-19,4424994.8337
2014-03-18,4533543.76029
2014-03-17,4399818.74931
2014-03-16,2073449.09781
2014-03-15,2522435.23633
2014-03-14,5350789.63545
2014-03-13,4786086.21641
2014-03-12,9309698.02458
2014-03-11,5391617.99061
2014-03-10,6763274.88417
2014-03-09,6357701.64366
2014-03-08,7378972.86238
2014-03-07,11533475.2123
2014-03-06,6644491.21934
2014-03-05,10069481.6693
2014-03-04,27726273.4628
2014-03-03,33646872.6538
2014-03-02,2667620.87528
2014-03-01,12629466.5456
2014-02-28,9573434.94723
2014-02-27,14560568.0035
2014-02-26,29824414.5598
2014-02-25,28633896.9697
2014-02-24,25554791.2104
2014-02-23,11013569.0711
2014-02-22,10942027.0023
2014-02-21,21045093.3134
2014-02-20,17953764.6632
2014-02-19,4100506.09185
2014-02-18,10145711.0721
2014-02-17,18743382.2611
2014-02-16,12215850.5495
2014-02-15,14306450.6178
2014-02-14,51070232.986
2014-02-13,10326596.2939
2014-02-12,23622517.1702
2014-02-11,17486897.8311
2014-02-10,45281410.3927
2014-02-09,12373413.3157
2014-02-08,8449899.91139
2014-02-07,49852548.5038
2014-02-06,15753523.0392
2014-02-05,4349131.19077
2014-02-04,5454760.45392
2014-02-03,4536817.25875
2014-02-02,3673585.2792
2014-02-01,5947538.11696
2014-01-31,6958858.42833
2014-01-30,10211352.2942
2014-01-29,6658715.05302
2014-01-28,23185647.7315
2014-01-27,11258300.0426
2014-01-26,8807290.49676
2014-01-25,6997182.45858
2014-01-24,11907988.6782
2014-01-23,6127909.38343
2014-01-22,6932278.28644
2014-01-21,6338548.32152
2014-01-20,5465133.5047
2014-01-19,6486746.49701
2014-01-18,8248056.82498
2014-01-17,11288488.3849
2014-01-16,6073510.13809
2014-01-15,10885454.7419
2014-01-14,10036413.3526
2014-01-13,13419687.1286
2014-01-12,11171979.1911
2014-01-11,16675962.3576
2014-01-10,15341573.7808
2014-01-09,13678077.9012
2014-01-08,32434576.7738
2014-01-07,19755518.7575
2014-01-06,26853239.5657
2014-01-05,17461277.5848
2014-01-04,10067025.947
2014-01-03,15945573.4398
2014-01-02,5773483.61987
2014-01-01,6136683.50782
2013-12-31,5888482.5625
2013-12-30,6175352.43235
2013-12-29,5709053.23116
2013-12-28,8684724.90288
2013-12-27,17031135.9975
2013-12-26,14586203.7083
2013-12-25,3671203.11505
2013-12-24,10227927.1773
